CompartmentName,TransectNo,ForestType,LoggingRotation,TransectByForest,ForestCode,Date,VisualCount,Sp.01,Sp.02,Sp.03,Sp.04,Sp.05,Sp.06,Sp.07,Sp.08,Sp.09,Sp.10,Sp.11,Sp.12,Sp.13,Sp.14,Sp.15,Sp.16,Sp.17,Sp.18,Sp.19,Sp.20,Sp.21,Sp.22,Sp.23,Sp.24,Sp.25,Sp.26,Sp.27
PB87,1,00-05 years (once),1,1,11,02 August 2016,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
PB87,2,00-05 years (once),1,2,11,02 August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB87,3,00-05 years (once),1,3,11,02 August 2016,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
PB87,4,00-05 years (once),1,4,11,02 August 2016,,,,,,,,,,,,,,6,,,,,,    ,,,,1,,,,
PB87,5,00-05 years (once),1,5,11,02 August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB87,6,00-05 years (once),1,6,11,02 August 2016,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
PB87,7,00-05 years (once),1,7,11,22 August 2016,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PB87,8,00-05 years (once),1,8,11,22 August 2016,,1,,,,,,,,,,,,9,,,,,,,,,,,,,,
PB87,9,00-05 years (once),1,9,11,22 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB87,10,00-05 years (once),1,10,11,22 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB87,11,00-05 years (once),1,11,11,22 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB87,12,00-05 years (once),1,12,11,22 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,1,00-05 years (once),1,13,11,29 June 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,2,00-05 years (once),1,14,11,29 June 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,3,00-05 years (once),1,15,11,29 June 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,4,00-05 years (once),1,16,11,29 June 2016,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
PS52,5,00-05 years (once),1,17,11,29 June 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,6,00-05 years (once),1,18,11,21 July 2016,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PS52,7,00-05 years (once),1,19,11,21 July 2016,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,8,00-05 years (once),1,20,11,21 July 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS52,9,00-05 years (once),1,21,11,21 July 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT35,1,00-05 years (once),1,22,11,31 August 2016,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
UTT35,2,00-05 years (once),1,23,11,31 August 2016,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT35,3,00-05 years (once),1,24,11,31 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT35,4,00-05 years (once),1,25,11,31 August 2016,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
UTT35,5,00-05 years (once),1,26,11,31 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT35,6,00-05 years (once),1,27,11,31 August 2016,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT41,1,00-05 years (once),1,28,11,31 August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT41,2,00-05 years (once),1,29,11,31 August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT41,3,00-05 years (once),1,30,11,31 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT41,4,00-05 years (once),1,31,11,31 August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTT41,5,00-05 years (once),1,32,12,31 August 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
