MountainName,Elevation,ForestType,Date,Sp.01,Sp.02,Sp.03,Sp.04,Sp.05,Sp.06,Sp.07,Sp.08,Sp.09,Sp.10,Sp.11,Sp.12,Sp.13,Sp.14,Sp.15,Sp.16,Sp.17,Sp.18,Sp.19,Sp.20,Sp.21,Sp.22,Sp.23,Sp.24,Sp.25,Sp.26,Sp.27,Sp.28
BK,350,2HillDipt,29-May-15,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
GB,350,2HillDipt,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
GBH,350,2HillDipt,09-Jun-15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
GL,350,2HillDipt,21-Jun-15,1,,,,,,,,,,,,6,,,,,,,,,,1,,,,,
GN,350,2HillDipt,06-May-15,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
BK,400,2HillDipt,26-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,400,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,400,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,400,2HillDipt,21-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,400,2HillDipt,07-May-15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
BK,450,2HillDipt,26-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,450,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,450,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,450,2HillDipt,21-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,450,2HillDipt,07-May-15,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,
BK,500,2HillDipt,26-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,500,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,500,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,500,2HillDipt,21-Jun-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,500,2HillDipt,08-May-15,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
BK,550,2HillDipt,26-May-15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
GB,550,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,550,2HillDipt,07-Jun-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,550,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,550,2HillDipt,08-May-15,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,
BK,600,2HillDipt,26-May-15,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
GB,600,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,600,2HillDipt,07-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,600,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,600,2HillDipt,09-May-15,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
BK,650,2HillDipt,27-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,650,2HillDipt,10-Jul-15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
GBH,650,2HillDipt,05-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
GL,650,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,650,2HillDipt,09-May-15,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
BK,700,2HillDipt,28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,700,2HillDipt,10-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,700,2HillDipt,05-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,700,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,700,2HillDipt,09-May-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,750,2HillDipt,28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,750,2HillDipt,10-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,750,2HillDipt,05-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,750,2HillDipt,16-Jun-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,750,2HillDipt,11-May-15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,800,2HillDipt,28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,800,2HillDipt,10-Jul-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBH,800,2HillDipt,05-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,800,2HillDipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,800,2HillDipt,11-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
