MountainName,Elevation,ForestType,Date,Sp.01,Sp.02,Sp.03,Sp.04,Sp.05,Sp.06,Sp.07,Sp.08,Sp.09,Sp.10,Sp.11,Sp.12,Sp.13,Sp.14,Sp.15,Sp.16,Sp.17,Sp.18,Sp.19,Sp.20,Sp.21,Sp.22,Sp.23,Sp.24,Sp.25,Sp.26,Sp.27,Sp.28
GBH,1250,4OakLaur,06-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,1250,4OakLaur,18-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,1250,4OakLaur,19-May-15,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
GBH,1300,4OakLaur,06-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,1300,4OakLaur,18-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN,1300,4OakLaur,19-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
GBH,1350,4OakLaur,06-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,1350,4OakLaur,18-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,1400,4OakLaur,18-Jun-15,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
GL,1450,4OakLaur,18-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,1500,4OakLaur,18-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
