CompartmentName,LoggingRotation,Age_Before,Age_Latest,SR_Asymptote,Shannon_Asymptote,Simpson_Asymptote,SR_per_compartment,shannon_per_compartment,simpson_per_compartment,order_0_at_90,order_1_at_90,order2_at_90,no_iNEXT,Herb_Mean,Leaflitter_Mean,Canopy_Mean,Water_Mean,NearPrimary,DistancePrimary,Herb_CV,Litter_CV,Canopy_CV,Water_CV
B10,twice,32,2,10.304,4.627,3.085,6,1.311332,0.646502836,6.914,3.916,2.891,NA,68.68421053,3.131578947,81.98611111,0.363636364,No,NA,56.65899358,39.14150647,32.6371249,138.7443693
B12,once,NA,10,2,2.07,2.143,2,0.636514168,0.444444444,1.933,1.781,1.667,NA,66.25,3.313,89.75,0,No,NA,56.09285413,29.30844395,15.3005481,NA
B14,twice,36,10,NA,NA,NA,1,0,0,NA,NA,NA,1,67.5,3.104166667,88.9375,0.166666667,No,NA,41.95951836,33.38582621,11.98363266,244.9489743
B17,once,NA,24,3.857,2.873,1.815,3,0.79631164,0.448979592,3.496,2.462,1.892,NA,78.97058824,3.449,86.53676471,0.353,No,NA,55.22421597,55.21769017,23.96171632,139.5445278
B18,once,NA,32,NA,NA,NA,0,0,1,NA,NA,NA,NA,87.82608696,2,83.64583333,0.167,No,NA,39.58539168,60.1416767,20.91226084,244.4600539
B19,once,NA,30,3.48,1.652,1.293,3,0.443306691,0.2176,1.67,1.36,1.233,NA,57.08333333,3.979,89.33333333,0.333,No,NA,48.31634493,31.31674255,13.75125409,155.0744081
B3,twice,36,10,4.48,2.396,1.714,4,0.793816952,0.4,3.204,2.048,1.625,NA,83.61111111,2.125,55.17647059,0.333333333,No,NA,63.68317308,79.74324019,70.01849458,154.9193338
BT7,once,NA,32,NA,NA,NA,0,0,1,NA,NA,NA,NA,96.66666667,3.729,95.27272727,0,No,NA,47.22567287,45.19240263,6.655189353,NA
JI38B,twice,36,10,NA,NA,NA,1,0,0,NA,NA,NA,1,81.57894737,2.355263158,70.84210526,0.181818182,No,NA,44.74738713,33.75633316,42.58109694,222.4859546
JI39,twice,31,1,3.857,2.873,1.815,3,0.79631164,0.448979592,3.496,2.462,1.892,NA,77.72727273,3.333333333,81.35416667,0.5,No,NA,48.93913495,38.81214989,27.14013792,109.5445115
JI4,once,NA,23,5,4.989,4.69,5,1.481117256,0.740484429,4.721,4.039,3.512,NA,90.90909091,2.955,91.29545455,0.091,Yes,755.093,49.92133346,40.6962686,17.24003778,331.3311484
JI40,twice,33,3,5.818,3.637,2.5,4,1.033562054,0.545454545,4.689,3.063,2.286,NA,68.125,2.895833333,75.55434783,0,No,NA,62.83837285,50.96899774,38.81182252,NA
JI42,twice,33,3,NA,NA,NA,1,0,0,NA,NA,NA,1,84.16666667,3.041666667,83.58333333,0.166666667,No,NA,45.40020923,57.92844926,23.68365294,244.9489743
JI52,once,NA,20,10.571,3.951,2.022,5,0.994353692,0.469387755,8.522,3.483,1.963,NA,77.5,2.917,87.45833333,0.2,Yes,67.179,53.94300414,41.57880915,17.7326783,223.6067975
JI64,once,NA,31,2,2.189,2.5,2,0.673011667,0.48,1.9,1.773,1.667,NA,77.5,4.375,81.825,0.333,Yes,751.246,50.56231261,30.92165282,25.98099584,155.0744081
JU100,unlogged,NA,200,4,4.037,3.9,4,1.27118148,0.686390533,3.832,3.328,2.95,NA,61.36363636,3.341,90.07954545,0.091,No,NA,49.02650743,30.40437689,11.15250448,331.3311484
JU31N,once,NA,41,13.778,2.438,1.445,6,0.71067961,0.299382716,6.635,2.077,1.43,NA,64.54545455,2.659,86.52272727,0.182,Yes,700.679,54.54144918,41.85780718,19.71781492,222.2636907
JU31Y,once,NA,11,5.926,1.973,1.382,4,0.573516076,0.26611797,3.131,1.687,1.352,NA,62.04545455,2.909,83.125,0.091,Yes,1035.978,51.0357587,48.7925847,29.17526655,331.3311484
JU68,twice,46,15,NA,NA,NA,1,0,0,NA,NA,NA,1,64.76190476,3.535714286,88.51190476,0,Yes,718.212,48.49924065,43.56109329,15.51720071,NA
JU93,once,NA,6,2.5,3.375,2,2,0.693147181,0.5,2.333,NA,3,NA,71.71875,3.32,81.2578125,0,No,NA,49.59706445,51.54113587,28.50888656,NA
PB87,once,NA,5,6.909,1.666,1.214,4,0.404509942,0.170798898,1.727,1.311,1.182,NA,81.55555556,3.022,78.85869565,0.333,No,NA,50.55278705,35.02614567,31.22663158,147.8576468
PS26,unlogged,NA,200,5.227,5.839,6.875,5,1.546598686,0.776859504,4.782,4.43,4.16,NA,87.08333333,3.177,92.73958333,0.182,No,NA,43.99611666,42.10485124,9.807145034,222.2636907
PS52,once,NA,5,3.889,2.427,1.588,3,0.683738906,0.37037037,3.434,2.116,1.618,NA,71.66666667,3.188,92.16666667,0.111,Yes,779.961,43.48061225,38.09241788,13.9671806,300.3003
UTT27,unlogged,NA,200,3,2.815,2.75,3,0.934769898,0.578512397,2.636,2.366,2.2,NA,62.75,3.284,92.92045455,0.273,No,NA,50.52230435,48.63105064,11.82876932,171.0986689
UTT35,once,NA,2,2,2.07,2.143,2,0.636514168,0.444444444,1.933,1.781,1.667,NA,34.16666667,2.354166667,58.875,0.167,No,NA,120.3537459,42.46846062,59.04821085,244.4600539
UTT41,once,NA,2,NA,NA,NA,0,0,1,NA,NA,NA,NA,62,2.3,61.425,0,No,NA,49.80931931,75.75576909,55.18468967,NA
