Site,order,coverage,diversity_estimate,compartment_age,canopy_closure,leaf_litter_depth,understory_height,No_WaterBodies,near_Primary
B12,0,0.811,2.17,10,89.75,3.313,66.25,0,No
B12,1,0.811,1.928,10,89.75,3.313,66.25,0,No
B12,2,0.811,1.739,10,89.75,3.313,66.25,0,No
B17,0,0.778,1.385,24,86.53676471,3.449,78.97058824,0.353,No
B17,1,0.778,1.306,24,86.53676471,3.449,78.97058824,0.353,No
B17,2,0.778,1.238,24,86.53676471,3.449,78.97058824,0.353,No
B19,0,0.809,1.866,30,89.33333333,3.979,57.08333333,0.333,No
B19,1,0.809,1.711,30,89.33333333,3.979,57.08333333,0.333,No
B19,2,0.809,1.58,30,89.33333333,3.979,57.08333333,0.333,No
JI4,0,0.803,3.757,23,91.29545455,2.955,90.90909091,0.091,Yes
JI4,1,0.803,2.866,23,91.29545455,2.955,90.90909091,0.091,Yes
JI4,2,0.803,2.312,23,91.29545455,2.955,90.90909091,0.091,Yes
JI52,0,0.792,2.22,20,87.45833333,2.917,77.5,0.2,Yes
JI52,1,0.792,1.971,20,87.45833333,2.917,77.5,0.2,Yes
JI52,2,0.792,1.773,20,87.45833333,2.917,77.5,0.2,Yes
JI64,0,0.744,1,31,81.825,4.375,77.5,0.333,Yes
JI64,1,0.744,1,31,81.825,4.375,77.5,0.333,Yes
JI64,2,0.744,1,31,81.825,4.375,77.5,0.333,Yes
JU100,0,0.79,3.335,200,90.07954545,3.341,61.36363636,0.091,No
JU100,1,0.79,2.949,200,90.07954545,3.341,61.36363636,0.091,No
JU100,2,0.79,2.629,200,90.07954545,3.341,61.36363636,0.091,No
JU31N,0,0.779,1.913,41,86.52272727,2.659,64.54545455,0.182,Yes
JU31N,1,0.779,1.753,41,86.52272727,2.659,64.54545455,0.182,Yes
JU31N,2,0.779,1.614,41,86.52272727,2.659,64.54545455,0.182,Yes
JU31Y,0,0.811,2.156,11,83.125,2.909,62.04545455,0.091,Yes
JU31Y,1,0.811,1.914,11,83.125,2.909,62.04545455,0.091,Yes
JU31Y,2,0.811,1.725,11,83.125,2.909,62.04545455,0.091,Yes
JU93,0,0.806,3,6,81.2578125,3.32,71.71875,0,No
JU93,1,0.806,2.087,6,81.2578125,3.32,71.71875,0,No
JU93,2,0.806,1.684,6,81.2578125,3.32,71.71875,0,No
PB87,0,0.784,1.367,5,78.85869565,3.022,81.55555556,0.333,No
PB87,1,0.784,1.29,5,78.85869565,3.022,81.55555556,0.333,No
PB87,2,0.784,1.225,5,78.85869565,3.022,81.55555556,0.333,No
PS26,0,0.824,4.606,200,92.73958333,3.177,87.08333333,0.182,No
PS26,1,0.824,4.25,200,92.73958333,3.177,87.08333333,0.182,No
PS26,2,0.824,3.964,200,92.73958333,3.177,87.08333333,0.182,No
PS52,0,0.814,2.641,5,92.16666667,3.188,71.66666667,0.111,Yes
PS52,1,0.814,2.345,5,92.16666667,3.188,71.66666667,0.111,Yes
PS52,2,0.814,2.116,5,92.16666667,3.188,71.66666667,0.111,Yes
UTT27,0,0.758,2.03,200,92.92045455,3.284,62.75,0.273,No
UTT27,1,0.758,1.876,200,92.92045455,3.284,62.75,0.273,No
UTT27,2,0.758,1.737,200,92.92045455,3.284,62.75,0.273,No
UTT35,0,0.771,2.557,2,58.875,2.354166667,34.16666667,0.167,No
UTT35,1,0.771,2.343,2,58.875,2.354166667,34.16666667,0.167,No
UTT35,2,0.771,2.154,2,58.875,2.354166667,34.16666667,0.167,No
B18,0,NA,1,32,87.82608696,2,83.64583333,0.167,No
B18,1,NA,1,32,87.82608696,2,83.64583333,0.167,No
B18,2,NA,1,32,87.82608696,2,83.64583333,0.167,No
BT7,0,NA,1,32,96.66666667,3.729,95.27272727,0,No
BT7,1,NA,1,32,96.66666667,3.729,95.27272727,0,No
BT7,2,NA,1,32,96.66666667,3.729,95.27272727,0,No
UTT41,0,NA,1,2,62,2.3,61.425,0,No
UTT41,1,NA,1,2,62,2.3,61.425,0,No
UTT41,2,NA,1,2,62,2.3,61.425,0,No
