Compartment,Age.of.forest,herb_mean_height,litter_mean_depth,canopy_mean_closure,herb_sd_height,litter_sd_depth,canopy_sd_closure,herb_median_height,litter_median_depth,canopy_median_closure,herb_n_height,litter_n_depth,canopy_n_closure,herb_SE_height,litter_SE_depth,canopy_SE_closure,Avg.No.WaterBodies,Avg.DistantWaterBodies
UTT35,2,34.16666667,2.354166667,58.875,47.81455724,0.999778344,34.76463414,20,2,64.5,24,48,48,9.760105626,0.144305574,5.01784272,0.167,0.1
UTT41,2,62,2.3,61.425,30.88177797,1.742382689,33.89719563,60,2,73,20,40,40,6.905375481,0.275494893,5.359617224,0,NA
PB87,5,81.55555556,3.022,78.85869565,41.22860633,1.058490122,24.62491436,80,3,89.5,45,92,92,6.145997758,0.110355224,2.567324794,0.333,0.1
PS52,5,71.66666667,3.188,92.16666667,31.16110545,1.214386282,12.87308479,70,3,96,24,48,48,6.360734014,0.175281562,1.858069742,0.111,0.1
JU93,6,71.71875,3.320,81.2578125,35.57039466,1.711165711,23.16569759,70,3,92,64,128,128,4.446299333,0.15124711,2.047577732,0,NA
B12,10,66.25,3.313,89.75,37.16151586,0.970988748,13.73224192,55,3,94,24,48,48,7.58556266,0.140150154,1.982078392,0,NA
JU31Y,11,62.04545455,2.909,83.125,31.66536847,1.419376289,24.25194032,50,3,92,44,88,88,4.773733912,0.151306021,2.585265525,0.091,0.1
JI52,20,77.5,2.917,87.45833333,41.80582821,1.212853863,15.5087049,65,3,98,12,24,24,12.06830309,0.247572758,3.165701131,0.2,0.1
JI4,23,90.90909091,2.955,91.29545455,45.38303042,1.202574737,15.73937086,85,3,98,44,88,88,6.841749261,0.128194898,1.677822571,0.091,10.1
B17,24,78.97058824,3.449,86.53676471,43.6108882,1.904458134,20.73569407,80,3,96,68,136,136,5.288597014,0.163305938,1.778071097,0.353,4.1
B19,30,57.08333333,3.979,89.33333333,27.58058023,1.246093186,12.28445365,50,4,92,24,48,48,5.629862364,0.179858059,1.773108155,0.333,0.1
JI64,31,77.5,4.375,81.825,39.18579227,1.352822311,21.25894985,70,4,87,20,40,40,8.762209527,0.213899989,3.361335109,0.333,0.1
B18,32,87.82608696,2.000,83.64583333,34.76630052,1.202833534,17.49223485,80,2,89.5,23,48,48,7.249274782,0.173614066,2.524786625,0.167,0.1
BT7,32,96.66666667,3.729,95.27272727,45.65148378,1.685224694,6.340580402,110,3,98,24,48,44,9.318570105,0.243241233,0.955878461,0,NA
JU31N,41,64.54545455,2.659,86.52272727,35.20402629,1.112999093,17.06039123,60,3,92,44,88,88,5.307206651,0.118646102,1.818643816,0.182,0.1
JU100,200,61.36363636,3.341,90.07954545,30.08444774,1.015810232,10.04612534,50,3,92,44,88,88,4.535401144,0.108285735,1.07092056,0.091,0.1
PS26,200,87.08333333,3.177,92.73958333,38.31328492,1.337671124,9.095105441,90,3,96,48,96,96,5.530046341,0.136525487,0.928265312,0.182,0.1
UTT27,200,62.75,3.284,92.92045455,31.70274598,1.597043703,10.99134622,60,3,100,40,88,88,5.012644269,0.170245431,1.171681444,0.273,3.4
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
