Compartment,Age.of.forest,herb_mean_height,litter_mean_depth,canopy_mean_closure,herb_sd_height,litter_sd_depth,canopy_sd_closure,herb_median_height,litter_median_depth,canopy_median_closure,herb_n_height,litter_n_depth,canopy_n_closure
B12,10,66.25,3.3125,89.75,37.16151585806969,0.9709887480996731,13.732241917658834,55,3,94,24,48,48
B17,24,78.97058823529412,3.448529411764706,86.53676470588235,43.61088820235227,1.9044581340406852,20.73569407361608,80,3,96,68,136,136
B18,32,87.82608695652173,2,83.64583333333333,34.76630052470227,1.2028335340512826,17.49223485269518,80,2,89.5,23,48,48
B19,30,57.083333333333336,3.9791666666666665,89.33333333333333,27.58058022952203,1.246093185500328,12.284453647535157,50,4,92,24,48,48
BT7,32,96.66666666666667,3.7291666666666665,95.27272727272727,45.65148377670208,1.685224694070066,6.340580401735066,110,3,98,24,48,44
JI4,23,90.9090909090909,2.9545454545454546,91.29545454545455,45.38303042236299,1.2025747369332747,15.73937086396125,85,3,98,44,88,88
JI52,20,77.5,2.9166666666666665,87.45833333333333,41.80582821482278,1.212853862900895,15.508704895516967,65,3,98,12,24,24
JI64,31,77.5,4.375,81.825,39.18579226951363,1.3528223109958695,21.25894984983851,70,4,87,20,40,40
JU100,unlogged,61.36363636363637,3.340909090909091,90.07954545454545,30.084447739183613,1.0158102324854543,10.046125336355914,50,3,92,44,88,88
JU31N,41,64.54545454545455,2.659090909090909,86.52272727272727,35.20402629288934,1.1129990926080267,17.060391226414712,60,3,92,44,88,88
JU31Y,11,62.04545454545455,2.909090909090909,83.125,31.665368468623573,1.4193762887662338,24.251940318156038,50,3,92,44,88,88
JU93,6,71.71875,3.3203125,81.2578125,35.57039465890808,1.711165711014331,23.16569758896685,70,3,92,64,128,128
PB87,5,81.55555555555556,3.0217391304347827,78.8586956521739,41.22860632859155,1.0584901217265286,24.624914356626483,80,3,89.5,45,92,92
PS26,unlogged,87.08333333333333,3.1770833333333335,92.73958333333333,38.31328492074831,1.3376711236652001,9.095105440975168,90,3,96,48,96,96
PS52,5,71.66666666666667,3.1875,92.16666666666667,31.161105448196526,1.2143862822649107,12.873084791794764,70,3,96,24,48,48
UTT27,unlogged,62.75,3.284090909090909,92.92045454545455,31.70274597829189,1.5970437030155715,10.991346220779173,60,3,100,40,88,88
UTT35,2,34.166666666666664,2.3541666666666665,58.875,47.81455724000768,0.9997783442286858,34.764634144976164,20,2,64.5,24,48,48
UTT41,2,62,2.3,61.425,30.881777968995177,1.7423826892785168,33.89719563319172,60,2,73,20,40,40
