Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
PS52,5,1,2,1,2,2,2,2,3,NA,NA,NA,NA,100,100,46,100,50,100,87,100,NA,NA,NA,NA,60,50,70,50,NA,NA
PS52,5,1,3,2,2,6,2,4,6,NA,NA,NA,NA,100,100,100,100,71,100,100,58,NA,NA,NA,NA,50,40,80,70,NA,NA
PS52,5,1,3,3,2,4,3,3,3,NA,NA,NA,NA,100,100,96,96,96,100,87,100,NA,NA,NA,NA,30,110,40,90,NA,NA
PS52,5,1,7,4,3,4,4,4,3,NA,NA,NA,NA,100,100,100,96,100,96,100,100,NA,NA,NA,NA,70,50,80,120,NA,NA
PS52,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS52,5,1,5,4,3,2,3,2,2,NA,NA,NA,NA,92,87,96,83,100,96,87,96,NA,NA,NA,NA,70,150,140,50,NA,NA
PS52,5,1,3,4,4,5,4,2,4,NA,NA,NA,NA,96,92,79,79,83,100,83,96,NA,NA,NA,NA,50,70,50,80,NA,NA
PS52,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS52,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB87,5,1,3,3,2,2,3,3,2,NA,NA,NA,NA,100,42,33,46,54,100,87,58,NA,NA,NA,NA,90,20,70,30,NA,NA
PB87,5,1,3,6,4,2,2,3,3,NA,NA,NA,NA,87,71,100,100,100,92,92,87,NA,NA,NA,NA,30,80,120,60,NA,NA
PB87,5,1,2,1,2,3,2,2,2,NA,NA,NA,NA,79,79,58,100,100,100,67,75,NA,NA,NA,NA,80,130,130,140,NA,NA
PB87,5,1,3,3,2,4,4,3,3,NA,NA,NA,NA,100,71,33,67,29,75,75,100,NA,NA,NA,NA,120,60,100,130,NA,NA
